region,parameter,powertrain,year,unit,value
China,EV sales share,EV,2011,percent,0.0340000018477439
China,EV stock share,EV,2011,percent,0.0092000002041459
China,EV stock share,EV,2012,percent,0.0189999993890523
China,EV sales share,EV,2012,percent,0.0729999989271164
China,EV sales share,EV,2013,percent,0.0949999988079071
China,EV stock share,EV,2013,percent,0.0309999994933605
China,EV stock share,EV,2014,percent,0.0700000002980232
China,EV sales share,EV,2014,percent,0.4000000059604645
China,EV sales share,EV,2015,percent,1.0
China,EV stock share,EV,2015,percent,0.209999993443489
China,EV stock share,EV,2016,percent,0.3899999856948852
China,EV sales share,EV,2016,percent,1.5
China,EV sales share,EV,2017,percent,2.400000095367432
China,EV stock share,EV,2017,percent,0.6600000262260437
China,EV sales share,EV,2018,percent,4.699999809265137
China,EV stock share,EV,2018,percent,1.100000023841858
China,EV stock share,EV,2019,percent,1.5
China,EV sales share,EV,2019,percent,5.0
China,EV sales share,EV,2020,percent,5.699999809265137
China,EV stock share,EV,2020,percent,1.899999976158142
China,EV stock share,EV,2021,percent,3.0999999046325684
China,EV sales share,EV,2021,percent,16.0
China,EV sales share,EV,2022,percent,29.0
China,EV stock share,EV,2022,percent,5.099999904632568
China,EV stock share,EV,2023,percent,7.599999904632568
China,EV sales share,EV,2023,percent,38.0
Colombia,EV sales share,EV,2015,percent,0.0170000009238719
Colombia,EV sales share,EV,2016,percent,0.0230000000447034
Colombia,EV sales share,EV,2017,percent,0.06700000166893
Colombia,EV sales share,EV,2018,percent,0.2399999946355819
Colombia,EV sales share,EV,2019,percent,0.550000011920929
Colombia,EV sales share,EV,2020,percent,0.5699999928474426
Colombia,EV sales share,EV,2021,percent,1.2000000476837158
Colombia,EV sales share,EV,2022,percent,2.0
Colombia,EV sales share,EV,2023,percent,3.900000095367432
Costa Rica,EV sales share,EV,2015,percent,0.0096000004559755
Costa Rica,EV sales share,EV,2016,percent,0.025000000372529
Costa Rica,EV sales share,EV,2017,percent,0.0599999986588954
Costa Rica,EV sales share,EV,2018,percent,0.5899999737739563
Costa Rica,EV sales share,EV,2019,percent,1.5
Costa Rica,EV sales share,EV,2020,percent,2.700000047683716
Costa Rica,EV sales share,EV,2021,percent,3.900000095367432
Costa Rica,EV sales share,EV,2022,percent,5.5
Costa Rica,EV sales share,EV,2023,percent,12.0
Croatia,EV sales share,EV,2019,percent,0.4099999964237213
Croatia,EV sales share,EV,2020,percent,1.899999976158142
Croatia,EV sales share,EV,2021,percent,3.799999952316284
Croatia,EV sales share,EV,2022,percent,5.0
Croatia,EV sales share,EV,2023,percent,4.599999904632568
Cyprus,EV sales share,EV,2019,percent,0.1899999976158142
Cyprus,EV sales share,EV,2020,percent,1.399999976158142
Cyprus,EV sales share,EV,2021,percent,1.7000000476837158
Cyprus,EV sales share,EV,2022,percent,5.400000095367432
Cyprus,EV sales share,EV,2023,percent,8.800000190734863
Czech Republic,EV sales share,EV,2015,percent,0.1299999952316284
Czech Republic,EV sales share,EV,2016,percent,0.0799999982118606
Czech Republic,EV sales share,EV,2017,percent,0.1400000005960464
Czech Republic,EV sales share,EV,2018,percent,0.3799999952316284
Czech Republic,EV sales share,EV,2019,percent,0.4900000095367431
Czech Republic,EV sales share,EV,2020,percent,2.5
Czech Republic,EV sales share,EV,2021,percent,3.0999999046325684
Czech Republic,EV sales share,EV,2022,percent,3.900000095367432
Czech Republic,EV sales share,EV,2023,percent,5.400000095367432
Denmark,EV stock share,EV,2010,percent,0.0037000000011175
Denmark,EV stock share,EV,2011,percent,0.0230000000447034
Denmark,EV sales share,EV,2011,percent,0.25
Denmark,EV sales share,EV,2012,percent,0.2899999916553497
Denmark,EV stock share,EV,2012,percent,0.0560000017285347
Denmark,EV stock share,EV,2013,percent,0.0680000036954879
Denmark,EV sales share,EV,2013,percent,0.2800000011920929
Denmark,EV sales share,EV,2014,percent,0.8999999761581421
Denmark,EV stock share,EV,2014,percent,0.1299999952316284
Denmark,EV stock share,EV,2015,percent,0.3499999940395355
Denmark,EV sales share,EV,2015,percent,2.299999952316284
Denmark,EV sales share,EV,2016,percent,0.8500000238418579
Denmark,EV stock share,EV,2016,percent,0.4000000059604645
Denmark,EV stock share,EV,2017,percent,0.4199999868869781
Denmark,EV sales share,EV,2017,percent,0.6000000238418579
Denmark,EV sales share,EV,2018,percent,2.0999999046325684
Denmark,EV stock share,EV,2018,percent,0.5899999737739563
Denmark,EV stock share,EV,2019,percent,0.959999978542328
Denmark,EV sales share,EV,2019,percent,4.199999809265137
Denmark,EV sales share,EV,2020,percent,16.0
Denmark,EV stock share,EV,2020,percent,2.299999952316284
Denmark,EV stock share,EV,2021,percent,5.199999809265137
Denmark,EV sales share,EV,2021,percent,35.0
Denmark,EV sales share,EV,2022,percent,39.0
Denmark,EV stock share,EV,2022,percent,7.800000190734863
Denmark,EV stock share,EV,2023,percent,11.0
Denmark,EV sales share,EV,2023,percent,46.0
Estonia,EV sales share,EV,2015,percent,0.1599999964237213
Estonia,EV sales share,EV,2016,percent,0.1500000059604644
Estonia,EV sales share,EV,2017,percent,0.1800000071525573
Estonia,EV sales share,EV,2018,percent,0.4600000083446502
Estonia,EV sales share,EV,2019,percent,0.3600000143051147
Estonia,EV sales share,EV,2020,percent,1.7999999523162842
Estonia,EV sales share,EV,2021,percent,3.200000047683716
Estonia,EV sales share,EV,2022,percent,5.400000095367432
Estonia,EV sales share,EV,2023,percent,8.800000190734863
EU27,EV sales share,EV,2010,percent,0.0099999997764825
EU27,EV stock share,EV,2010,percent,0.0024000001139938
EU27,EV stock share,EV,2011,percent,0.0060999998822808
EU27,EV sales share,EV,2011,percent,0.0649999976158142
EU27,EV sales share,EV,2012,percent,0.1899999976158142
EU27,EV stock share,EV,2012,percent,0.0149999996647238
EU27,EV stock share,EV,2013,percent,0.0370000004768371
EU27,EV sales share,EV,2013,percent,0.4699999988079071
EU27,EV sales share,EV,2014,percent,0.5600000023841858
EU27,EV stock share,EV,2014,percent,0.0630000010132789
EU27,EV stock share,EV,2015,percent,0.1199999973177909
EU27,EV sales share,EV,2015,percent,1.100000023841858
EU27,EV sales share,EV,2016,percent,0.9800000190734864
EU27,EV stock share,EV,2016,percent,0.1700000017881393
EU27,EV stock share,EV,2017,percent,0.25
EU27,EV sales share,EV,2017,percent,1.2999999523162842
EU27,EV sales share,EV,2018,percent,1.899999976158142
EU27,EV stock share,EV,2018,percent,0.3499999940395355
EU27,EV stock share,EV,2019,percent,0.4900000095367431
EU27,EV sales share,EV,2019,percent,2.900000095367432
EU27,EV sales share,EV,2020,percent,10.0
EU27,EV stock share,EV,2020,percent,0.9300000071525574
EU27,EV stock share,EV,2021,percent,1.7000000476837158
EU27,EV sales share,EV,2021,percent,17.0
EU27,EV sales share,EV,2022,percent,21.0
EU27,EV stock share,EV,2022,percent,2.5
EU27,EV stock share,EV,2023,percent,3.5999999046325684
EU27,EV sales share,EV,2023,percent,22.0
Europe,EV stock share,EV,2010,percent,0.0038999998942017
Europe,EV sales share,EV,2010,percent,0.0120000001043081
Europe,EV sales share,EV,2011,percent,0.0740000009536743
Europe,EV stock share,EV,2011,percent,0.0078999996185302
Europe,EV stock share,EV,2012,percent,0.0179999992251396
Europe,EV sales share,EV,2012,percent,0.2000000029802322
Europe,EV sales share,EV,2013,percent,0.4199999868869781
Europe,EV stock share,EV,2013,percent,0.0399999991059303
Europe,EV stock share,EV,2014,percent,0.0740000009536743
Europe,EV sales share,EV,2014,percent,0.6600000262260437
Europe,EV sales share,EV,2015,percent,1.2000000476837158
